고객ID,성별,연령대,구매금액,구매사유
CUST_001,남성,20대,398786,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_002,남성,30대,83158,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_003,남성,50대,26663,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_004,남성,30대,131981,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_005,남성,30대,385400,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_006,여성,30대,245514,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_007,여성,20대,407833,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_008,여성,40대,155684,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_009,남성,40대,63587,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_010,여성,20대,198208,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_011,여성,20대,392589,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_012,남성,50대,51313,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_013,여성,40대,312698,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_014,남성,20대,356692,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_015,여성,20대,458432,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_016,남성,50대,155738,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_017,여성,30대,204081,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_018,남성,40대,377955,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_019,남성,30대,95669,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_020,여성,40대,495171,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_021,남성,40대,451897,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_022,남성,20대,432075,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_023,여성,40대,44701,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_024,여성,30대,353638,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_025,여성,50대,84905,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_026,남성,30대,400588,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_027,여성,50대,480717,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_028,여성,40대,124987,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_029,여성,20대,406247,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_030,남성,30대,338962,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_031,여성,20대,211728,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_032,여성,40대,300049,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_033,남성,40대,412967,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_034,남성,40대,237942,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_035,여성,20대,388584,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_036,남성,20대,466402,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_037,남성,30대,206038,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_038,남성,40대,266170,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_039,남성,40대,470703,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_040,남성,20대,136286,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_041,남성,20대,393730,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_042,남성,30대,77314,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_043,남성,40대,286653,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_044,여성,30대,497018,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_045,남성,40대,219186,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_046,여성,50대,73441,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_047,남성,20대,187254,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_048,남성,30대,13770,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_049,남성,30대,45337,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_050,여성,20대,279565,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_051,여성,50대,122321,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_052,남성,50대,137400,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_053,여성,30대,59453,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_054,여성,40대,232077,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_055,여성,20대,363036,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_056,남성,50대,391793,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_057,남성,30대,110448,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_058,여성,30대,231187,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_059,여성,50대,140970,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_060,여성,20대,36522,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_061,남성,20대,495683,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_062,남성,50대,264615,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_063,남성,50대,483139,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_064,남성,50대,11130,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_065,여성,50대,159552,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_066,여성,30대,109561,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_067,남성,20대,313657,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_068,남성,40대,39971,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_069,여성,30대,39821,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_070,남성,30대,45924,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_071,남성,30대,221694,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_072,남성,20대,334734,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_073,여성,40대,146716,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_074,여성,30대,149258,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_075,남성,40대,249717,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_076,남성,20대,250273,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_077,남성,20대,291875,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_078,여성,30대,499296,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_079,남성,30대,203738,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_080,남성,50대,447122,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_081,여성,20대,360152,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_082,여성,20대,470391,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_083,여성,20대,476465,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_084,남성,40대,157721,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_085,남성,40대,116743,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_086,여성,40대,484657,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_087,남성,50대,444817,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_088,남성,20대,184879,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_089,여성,30대,398618,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_090,여성,20대,68654,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_091,남성,20대,447568,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_092,남성,50대,76818,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_093,여성,40대,481325,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_094,여성,30대,367599,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_095,남성,40대,419005,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_096,여성,30대,495366,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_097,남성,30대,472115,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_098,남성,30대,396171,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_099,여성,30대,149883,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_100,남성,50대,467266,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_101,여성,30대,114633,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_102,여성,40대,440197,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_103,남성,20대,356047,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_104,여성,40대,156068,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_105,여성,40대,346321,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_106,여성,40대,24470,디자인이 세련되고 예뻐서 마음에 듭니다.
CUST_107,여성,30대,314396,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_108,남성,20대,322775,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_109,여성,40대,238796,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_110,남성,50대,481599,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_111,남성,40대,33271,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_112,남성,30대,200956,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_113,남성,40대,336712,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_114,남성,40대,275878,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_115,여성,40대,220973,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_116,남성,30대,230434,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_117,남성,40대,222900,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_118,남성,40대,160425,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_119,여성,40대,253787,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_120,여성,30대,278002,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_121,남성,20대,158785,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_122,여성,20대,439089,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_123,여성,30대,432871,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_124,남성,20대,34229,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_125,여성,20대,248769,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_126,남성,50대,269196,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_127,남성,30대,353963,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_128,남성,50대,124735,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_129,여성,20대,302241,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_130,남성,50대,79908,정기적으로 구매하는 제품인데 할인해서 만족스럽습니다.
CUST_131,여성,50대,331206,사이즈가 딱 맞고 착용감이 좋습니다.
CUST_132,여성,50대,480395,품질이 훌륭해서 오랫동안 쓸 수 있을 것 같아요.
CUST_133,여성,50대,145891,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_134,여성,50대,338596,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_135,여성,50대,50623,배송이 정말 빨라서 다음 날 바로 받았습니다.
CUST_136,남성,40대,186080,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_137,남성,30대,89078,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_138,여성,30대,380367,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_139,남성,50대,223699,가격 대비 성능이 아쉽지만 디자인이 극복해 줍니다.
CUST_140,여성,50대,42645,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
CUST_141,여성,50대,484395,브랜드 신뢰도가 높아서 믿고 구매했습니다.
CUST_142,남성,50대,260074,가격이 아주 저렴해서 가성비가 매우 좋습니다.
CUST_143,여성,40대,405037,포장이 꼼꼼하게 잘 되어 와서 상한 곳이 없네요.
CUST_144,여성,30대,265972,선물용으로 구매했는데 받는 사람이 아주 기뻐하네요.
