주문번호,판매제품군,판매처,매출액,고객만족도,고객건의사항
ORD_001,뷰티,전문점,690428,5,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_002,가전,온라인쇼핑몰,1649575,2,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_003,뷰티,온라인쇼핑몰,379372,2,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_004,식품,온라인쇼핑몰,378272,1,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_005,도서,전문점,660815,1,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_006,뷰티,대형마트,1524271,4,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_007,의류,대형마트,1702195,5,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_008,도서,온라인쇼핑몰,1192030,2,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_009,뷰티,백화점,199757,1,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_010,뷰티,대형마트,970971,1,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_011,뷰티,전문점,620941,5,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_012,도서,전문점,218698,5,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_013,도서,대형마트,1316079,3,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_014,가전,백화점,1464106,5,재구매 고객을 위한 특별 멤버십 제도가 생겼으면 좋겠습니다.
ORD_015,가전,대형마트,1258477,1,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_016,도서,전문점,1971143,3,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_017,식품,전문점,1381240,4,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_018,도서,대형마트,906368,3,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_019,가전,백화점,741648,4,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_020,뷰티,전문점,1756171,5,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_021,도서,온라인쇼핑몰,709590,3,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_022,가전,전문점,1863848,5,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_023,식품,전문점,916642,1,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_024,식품,대형마트,1355757,4,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_025,가전,백화점,610057,5,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_026,뷰티,전문점,1897269,4,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_027,가전,백화점,1538522,2,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_028,식품,온라인쇼핑몰,1208155,4,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_029,의류,온라인쇼핑몰,1017726,1,할인 혜택이나 쿠폰 행사를 더 자주 제공해 주세요.
ORD_030,도서,대형마트,1117181,3,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_031,도서,전문점,561140,4,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_032,의류,전문점,449738,5,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_033,의류,온라인쇼핑몰,629332,4,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_034,식품,대형마트,1770816,1,제품의 상세한 사용 설명서가 동봉되면 좋겠어요.
ORD_035,뷰티,전문점,1864582,2,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_036,식품,전문점,773777,3,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_037,식품,전문점,1004926,3,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_038,의류,전문점,539815,4,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_039,뷰티,전문점,1528970,4,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_040,의류,전문점,127635,2,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_041,식품,대형마트,1873893,1,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_042,가전,전문점,82186,2,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_043,의류,온라인쇼핑몰,1034593,3,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_044,식품,전문점,1412806,1,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_045,식품,전문점,714086,4,반품이나 교환 절차가 조금 더 간편해졌으면 해요.
ORD_046,가전,온라인쇼핑몰,542348,3,배송 속도가 엄청 빨라서 만족스러웠습니다.
ORD_047,가전,전문점,256450,1,모바일 앱 UI가 편리해서 구매하기 편했습니다.
ORD_048,의류,대형마트,1944617,1,더 다양한 색상과 옵션이 추가되었으면 좋겠습니다.
ORD_049,뷰티,온라인쇼핑몰,665236,3,품질에 비해 가격이 약간 비싸다는 느낌이 듭니다.
ORD_050,도서,백화점,562119,5,고객 응대와 상담 서비스가 더 개선되기를 바랍니다.
ORD_051,식품,백화점,406481,2,친환경 포장재를 사용해 주시면 더 좋을 것 같아요.
ORD_052,식품,전문점,1349626,2,모바일 앱 UI가 편리해서 구매하기 편했습니다.
